year, region, species, latitude, depth
1983,ALL,ALL,0.0676853397026922,2.07132228703559
1984,ALL,ALL,0.03525585347608,1.65272245175619
1985,ALL,ALL,0.0914290141143625,4.69018983780922
1986,ALL,ALL,0.0685653436348522,4.10007847921729
1987,ALL,ALL,0.0855108715985927,5.35703204003441
1988,ALL,ALL,0.131839319599848,3.56527771454156
1989,ALL,ALL,0.111069469692032,9.00624042045274
1990,ALL,ALL,0.119785310172916,6.58392766439867
1991,ALL,ALL,0.120069041230689,5.09643592631438
1992,ALL,ALL,0.0312171199342197,6.83639136755497
1993,ALL,ALL,0.1316700931705,7.43972599676442
1994,ALL,ALL,0.123190873888641,8.23507766058997
1995,ALL,ALL,0.159171860179817,4.6004438442566
1996,ALL,ALL,0.123751072797001,8.3903352781537
1997,ALL,ALL,0.10714754290663,4.14861931721759
1998,ALL,ALL,0.106957855329683,8.09102600986779
1999,ALL,ALL,0.183419755826763,6.33363684799692
2000,ALL,ALL,0.275795828528567,6.70716924800803
2001,ALL,ALL,0.236265271756065,7.16486842159671
2002,ALL,ALL,0.204575034864161,5.64644132603767
2003,ALL,ALL,0.160194011375193,6.90847257889892
2004,ALL,ALL,0.174279852661527,7.50406930702331
2005,ALL,ALL,0.20922421739826,7.16365527691681
2006,ALL,ALL,0.185588036535554,5.84188556761259
2007,ALL,ALL,0.251158042894319,9.15630350353162
2008,ALL,ALL,0.259431387089298,9.1358370327074
2009,ALL,ALL,0.191926146673107,9.58114740376874
2010,ALL,ALL,0.269101428859047,12.2703237813258
2011,ALL,ALL,0.201046131290953,8.94197315542301
2012,ALL,ALL,0.246125823813247,6.69216877671405
2013,ALL,ALL,0.34056012061145,9.68894334481497
2014,ALL,ALL,0.369297443942801,10.8786335186899
2015,ALL,ALL,0.374082355284761,11.9379948647111
2016,ALL,ALL,0.490135932233946,8.00140584760629
